DATE,POLLUTANT,SHATIN,TSUEN WAN,CENTRAL,EASTERN,KWUN TONG,TUEN MUN,TUNG CHUNG,SHAM SHUI PO,SOUTHERN,YUEN LONG,CENTRAL/WESTERN,NORTH,KWAI CHUNG,TAP MUN,TSEUNG KWAN O,TAI PO,MONG KOK,CAUSEWAY BAY
01-01-2017,Carbon Monoxide,N.A.,65,61,N.A.,N.A.,65,58,N.A.,N.A.,34,N.A.,N.A.,N.A.,82,55,N.A.,79,71
01-01-2017,Fine Suspended Particulates ,18,16,13,19,20,27,21,22,N.A.,20,21,N.A.,20,19,16,21,26,27
01-01-2017,Nitrogen Dioxide,19,55,49,36,27,49,38,51,N.A.,48,30,N.A.,37,9,13,27,71,91
01-01-2017,Nitrogen Oxides,24,68,67,N.A.,30,59,50,62,N.A.,63,32,N.A.,46,11,16,34,116,224
01-01-2017,Ozone,80,51,60,73,67,49,43,53,N.A.,50,70,N.A.,63,91,84,76,37,23
01-01-2017,Respirable Suspended Particulates,29,24,26,31,40,45,32,34,N.A.,43,33,N.A.,31,35,31,32,37,41
01-01-2017,Sulphur Dioxide,9,11,3,3,8,7,9,4,N.A.,10,3,N.A.,7,10,8,6,3,9
02-01-2017,Carbon Monoxide,N.A.,72,83,N.A.,N.A.,87,69,N.A.,N.A.,52,N.A.,N.A.,N.A.,88,69,N.A.,92,92
02-01-2017,Fine Suspended Particulates ,19,21,21,23,25,39,31,N.A.,N.A.,28,25,N.A.,27,23,20,23,32,38
02-01-2017,Nitrogen Dioxide,53,84,97,57,52,91,58,80,N.A.,75,60,N.A.,84,12,34,43,107,119
02-01-2017,Nitrogen Oxides,88,117,206,N.A.,62,136,84,112,N.A.,106,92,N.A.,157,14,43,57,227,327
02-01-2017,Ozone,45,32,37,67,57,21,21,37,N.A.,37,54,N.A.,47,81,N.A.,52,20,16
02-01-2017,Respirable Suspended Particulates,30,32,40,37,47,64,46,N.A.,N.A.,57,41,N.A.,42,35,43,32,47,56
02-01-2017,Sulphur Dioxide,11,19,8,5,9,13,10,11,N.A.,12,10,N.A.,22,10,9,6,8,14
03-01-2017,Carbon Monoxide,N.A.,80,92,N.A.,N.A.,93,72,N.A.,N.A.,55,N.A.,N.A.,N.A.,89,66,N.A.,122,77
03-01-2017,Fine Suspended Particulates ,29,32,21,24,27,49,44,N.A.,N.A.,34,32,N.A.,36,25,22,33,41,44
03-01-2017,Nitrogen Dioxide,46,72,94,58,57,88,51,89,N.A.,51,68,N.A.,77,12,37,43,106,100
03-01-2017,Nitrogen Oxides,91,90,176,N.A.,91,151,64,148,N.A.,105,118,N.A.,115,14,46,68,224,250
03-01-2017,Ozone,52,46,26,57,45,21,45,28,N.A.,47,41,N.A.,N.A.,78,57,54,14,13
03-01-2017,Respirable Suspended Particulates,40,43,35,36,45,75,59,N.A.,N.A.,67,46,N.A.,48,37,32,44,55,58
03-01-2017,Sulphur Dioxide,10,12,5,4,8,9,10,6,N.A.,10,8,N.A.,10,9,8,6,4,10
04-01-2017,Carbon Monoxide,N.A.,67,83,N.A.,N.A.,68,63,N.A.,N.A.,30,N.A.,N.A.,N.A.,86,59,N.A.,100,60
04-01-2017,Fine Suspended Particulates ,24,18,19,26,27,30,26,N.A.,N.A.,23,26,N.A.,24,25,22,24,31,32
04-01-2017,Nitrogen Dioxide,32,60,83,53,33,64,33,70,N.A.,41,40,N.A.,51,9,17,38,94,78
04-01-2017,Nitrogen Oxides,41,75,135,N.A.,38,95,39,90,N.A.,57,44,N.A.,68,10,20,49,147,141
04-01-2017,Ozone,76,54,46,75,72,40,61,51,N.A.,51,72,N.A.,63,100,102,68,32,39
04-01-2017,Respirable Suspended Particulates,34,25,31,36,43,45,37,N.A.,N.A.,41,39,N.A.,35,40,33,35,44,47
04-01-2017,Sulphur Dioxide,10,10,4,4,8,6,8,7,N.A.,8,4,N.A.,8,10,9,6,3,8
05-01-2017,Carbon Monoxide,N.A.,83,121,N.A.,N.A.,104,83,N.A.,N.A.,60,N.A.,N.A.,N.A.,88,69,N.A.,106,79
