year,cc_rating,number
2020,1000cc and below,9571
2020,1001-1600cc,12707
2020,1601-2000cc,13556
2020,2001-3000cc,7789
2020,3001cc and above,5157
2021,1000cc and below,9705
2021,1001-1600cc,12637
2021,1601-2000cc,11850
2021,2001-3000cc,7736
2021,3001cc and above,5874
2022,1000cc and below,7760
2022,1001-1600cc,8533
2022,1601-2000cc,6983
2022,2001-3000cc,5983
2022,3001cc and above,4701
2023,1000cc and below,4854
2023,1001-1600cc,6000
2023,1601-2000cc,5704
2023,2001-3000cc,5532
2023,3001cc and above,4600
2024,1000cc and below,2597
2024,1001-1600cc,2946
2024,1601-2000cc,3299
2024,2001-3000cc,3206
2024,3001cc and above,2335
