year,cc_rating,number
2005,1000cc and below,9514
2005,1001-1600cc,258373
2005,1601-2000cc,105201
2005,2001-3000cc,58257
2005,3001cc and above,6849
2006,1000cc and below,7109
2006,1001-1600cc,277522
2006,1601-2000cc,114206
2006,2001-3000cc,65332
2006,3001cc and above,8139
2007,1000cc and below,7544
2007,1001-1600cc,297394
2007,1601-2000cc,125730
2007,2001-3000cc,74202
2007,3001cc and above,9815
2008,1000cc and below,7777
2008,1001-1600cc,312367
2008,1601-2000cc,138125
2008,2001-3000cc,80415
2008,3001cc and above,11771
2009,1000cc and below,7650
2009,1001-1600cc,325418
2009,1601-2000cc,146836
2009,2001-3000cc,83774
2009,3001cc and above,13310
2010,1000cc and below,7367
2010,1001-1600cc,331246
2010,1601-2000cc,153471
2010,2001-3000cc,87986
2010,3001cc and above,15115
2011,1000cc and below,6622
2011,1001-1600cc,329957
2011,1601-2000cc,157846
2011,2001-3000cc,92432
2011,3001cc and above,16866
2012,1000cc and below,6490
2012,1001-1600cc,335409
2012,1601-2000cc,162217
2012,2001-3000cc,94712
2012,3001cc and above,18742
2013,1000cc and below,6364
2013,1001-1600cc,335419
2013,1601-2000cc,164768
2013,2001-3000cc,95295
2013,3001cc and above,19499
2014,1000cc and below,6189
2014,1001-1600cc,331104
2014,1601-2000cc,164424
2014,2001-3000cc,95251
2014,3001cc and above,19641
2015,1000cc and below,5799
2015,1001-1600cc,321082
2015,1601-2000cc,162791
2015,2001-3000cc,93358
2015,3001cc and above,19281
2016,1000cc and below,4821
2016,1001-1600cc,325700
2016,1601-2000cc,165042
2016,2001-3000cc,87832
2016,3001cc and above,17862
2017,1000cc and below,5388
2017,1001-1600cc,337682
2017,1601-2000cc,171499
2017,2001-3000cc,81527
2017,3001cc and above,16160
2018,1000cc and below,6444
2018,1001-1600cc,342809
2018,1601-2000cc,175793
2018,2001-3000cc,75718
2018,3001cc and above,14688
2019,1000cc and below,8268
2019,1001-1600cc,357982
2019,1601-2000cc,179104
2019,2001-3000cc,71887
2019,3001cc and above,13355
2020,1000cc and below,9424
2020,1001-1600cc,361261
2020,1601-2000cc,180982
2020,2001-3000cc,69630
2020,3001cc and above,12745
2021,1000cc and below,10423
2021,1001-1600cc,367949
2021,1601-2000cc,182551
2021,2001-3000cc,70410
2021,3001cc and above,13817
2022,1000cc and below,14386
2022,1001-1600cc,370255
2022,1601-2000cc,181326
2022,2001-3000cc,70789
2022,3001cc and above,13911
2023,1000cc and below,20284
2023,1001-1600cc,368088
2023,1601-2000cc,177676
2023,2001-3000cc,71169
2023,3001cc and above,14085
