Vehicle Class,Vehicle Make,Vehicle Model,Fuel Type,Cylinder Capacity Of Engine (c.c.),Body Type,First Registration Vehicle Status,Permitted Gross Vehicle Weight ,Number Of Passenger Seats ,Taxable Value (HK$),Year Of Manufacture
Private Car,TOYOTA,ALPHARD S FACELIFT,Petrol,2493,STATION WAGGON,C2,-,6,"> 300,000 and <= 500,000",2019
Private Car,B.M.W.,X7 XDRIVE40IA 7-SEATER M SPORT EDITION (G07),Petrol,2998,STATION WAGGON,A,-,6,"> 500,000",2020
Private Car,B.M.W.,X3 XDRIVE20IA XLINE (G01),Petrol,1998,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2019
Private Car,MERCEDES BENZ,E200 AVANTGARDE (W213),Petrol,1991,SALOON,A,-,4,"> 300,000 and <= 500,000",2019
Private Car,MERCEDES BENZ,C200 FL(W205),Petrol,1497,SALOON,A,-,4,"> 150,000 and <= 300,000",2019
Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,BENTLEY,CONTINENTAL GT,Petrol,5950,SALOON,A,-,3,"> 500,000",2020
Private Car,TOYOTA,MR2,Petrol,1998,SALOON,C2,-,1,"<= 150,000",1997
Private Car,B.M.W.,X7 M50IA 7-SEATER (G07),Petrol,4395,STATION WAGGON,A,-,6,"> 500,000",2020
Private Car,HONDA,S2000,Petrol,1997,CONVERTIBLE,C2,-,1,"<= 150,000",2000
Private Car,HONDA,STEPWGN SPADA Z,Petrol,1997,STATION WAGGON,C2,-,7,"<= 150,000",2009
Private Car,B.M.W.,520IA SALOON M SPORT EDITION (G30),Petrol,1998,SALOON,A,-,4,"> 300,000 and <= 500,000",2019
Private Car,MITSUBISHI,PAJERO 3.0 5AT,Petrol,2972,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2019
Private Car,KIA,NIRO EV,Electric,-,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020
Private Car,PORSCHE,MACAN S,Petrol,2995,STATION WAGGON,A,-,4,"> 500,000",2019
Private Car,TOYOTA,PRIUS,Petrol,1797,SALOON,C2,-,4,"> 150,000 and <= 300,000",2017
Private Car,B.M.W.,330IA SALOON SPORT (G20),Petrol,1998,SALOON,A,-,4,"> 300,000 and <= 500,000",2019
Private Car,HONDA,FREED G AERO JUST SELECTION,Petrol,1496,STATION WAGGON,C2,-,6,"<= 150,000",2010
Private Car,SUZUKI,JIMNY 1.5 4WD 4AT,Petrol,1462,STATION WAGGON,A,-,3,"> 150,000 and <= 300,000",2020
Private Car,HONDA,FREED,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,TOYOTA,PRIUS HYBRID,Petrol,1797,SALOON,C2,-,4,"<= 150,000",2013
Private Car,ROVER,DEFENDER,Petrol,3946,STATION WAGGON,C2,-,5,"> 150,000 and <= 300,000",1998
Private Car,TOYOTA,VOXY HYBRID,Petrol,1797,STATION WAGGON,C2,-,6,"> 150,000 and <= 300,000",2016
Private Car,AUDI,Q2 35 TFSI,Petrol,1498,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2019
Private Car,TOYOTA,PRIUS,Petrol,1797,SALOON,C2,-,4,"<= 150,000",2013
Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,MINI,MINI 5-DOOR COOPER S AUTOMATIC (F55),Petrol,1998,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020
Private Car,TOYOTA,C-HR,Petrol,1798,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020
Private Car,TOYOTA,PRIUS,Petrol,1797,SALOON,C2,-,4,"<= 150,000",2016
Private Car,TESLA,MODEL 3 PERFORMANCE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020
Private Car,HONDA,INTEGRA XSI VTEC,Petrol,1595,SALOON,C2,-,4,"<= 150,000",1989
Private Car,HONDA,FIT HYBRID F PACKAGE,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2015
Private Car,VOLKSWAGEN,T-CROSS,Petrol,999,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2019
Private Car,TOYOTA,SPADE,Petrol,1496,SALOON,A,-,4,"<= 150,000",2020
Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
