Vehicle Class,Vehicle Make,Vehicle Model,Fuel Type,Cylinder Capacity Of Engine (c.c.),Body Type,First Registration Vehicle Status,Permitted Gross Vehicle Weight ,Number Of Passenger Seats ,Taxable Value (HK$),Year Of Manufacture
Private Car,TOYOTA,C-HR,Petrol,1798,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020
Private Car,TOYOTA,AQUA GS,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2014
Private Car,MERCEDES BENZ,GLA200 (H247),Petrol,1332,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020
Private Car,MERCEDES BENZ,GLB250 4MATIC (X247),Petrol,1991,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2020
Private Car,TOYOTA,VELLFIRE,Petrol,2494,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2020
Private Car,HONDA,S660 ALPHA TRAD LEATHER EDITION,Petrol,658,CONVERTIBLE,C2,-,1,"> 300,000 and <= 500,000",2020
Private Car,B.M.W.,X3 XDRIVE20IA XLINE (G01),Petrol,1998,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2020
Private Car,TOYOTA,COROLLA RUMION,Petrol,1797,STATION WAGGON,C2,-,4,"<= 150,000",2011
Private Car,TOYOTA,AQUA,Petrol,1496,SALOON,C2,-,4,"<= 150,000",2012
Private Car,MERCEDES BENZ,MERCEDES-AMG CLA35 4MATIC COUPE (C118),Petrol,1991,SALOON,A,-,4,"> 300,000 and <= 500,000",2020
Private Car,MERCEDES BENZ,E200 AMG LINE FACELIFT (W213),Petrol,1991,SALOON,A,-,4,"> 300,000 and <= 500,000",2020
Private Car,PORSCHE,MACAN,Petrol,1984,STATION WAGGON,A,-,4,"> 500,000",2020
Private Car,HONDA,JAZZ,Petrol,1496,STATION WAGGON,A,-,4,"<= 150,000",2020
Private Car,TOYOTA,FJ CRUISER,Petrol,3955,STATION WAGGON,C2,-,4,"> 150,000 and <= 300,000",2012
Private Car,NISSAN,QASHQAI TURBO,Petrol,1332,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020
Private Car,TOYOTA,SIENTA,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,PORSCHE,TAYCAN 4S,Electric,-,SALOON,A,-,3,"> 500,000",2020
Private Car,TOYOTA,RAV4,Petrol,1987,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020
Private Car,LEXUS,UX200,Petrol,1987,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020
Private Car,HONDA,FREED HYBRID JUST SELECTION,Petrol,1496,STATION WAGGON,C2,-,6,"<= 150,000",2012
Private Car,MERCEDES BENZ,GLB250 4MATIC (X247),Petrol,1991,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2020
Private Car,B.M.W.,X5 XDRIVE40IA 7-SEATER M SPORT EDITION (G05),Petrol,2998,STATION WAGGON,A,-,6,"> 500,000",2020
Private Car,AUDI,Q3 35 TFSI,Petrol,1498,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020
Private Car,PORSCHE,TAYCAN 4S,Electric,-,SALOON,A,-,4,"> 500,000",2020
Private Car,PORSCHE,718 CAYMAN GTS 4.0,Petrol,3995,SALOON,A,-,1,"> 500,000",2020
Private Car,TOYOTA,C-HR,Petrol,1798,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020
Private Car,HONDA,FREED,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,HONDA,STEPWGN,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,HONDA,ODYSSEY G EX,Petrol,2356,STATION WAGGON,C2,-,6,"> 150,000 and <= 300,000",2015
Private Car,LEXUS,LM350,Petrol,3456,STATION WAGGON,A,-,3,"> 500,000",2020
Private Car,B.M.W.,320IA TOURING SPORT (G21),Petrol,1998,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020
Private Car,MERCEDES BENZ,GLB250 4MATIC (X247),Petrol,1991,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2020
Private Car,TOYOTA,C-HR,Petrol,1798,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020
Private Car,TOYOTA,PORTE,Petrol,1496,SALOON,C2,-,4,"<= 150,000",2013
Private Car,TOYOTA,AQUA HYBRID,Petrol,1496,SALOON,C2,-,4,"<= 150,000",2012
Private Car,TOYOTA,COROLLA RUMION,Petrol,1797,STATION WAGGON,C2,-,4,"<= 150,000",2011
Private Car,AUDI,Q3 35 TFSI,Petrol,1498,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020
Private Car,MERCEDES BENZ,GLC300 4MATIC FACELIFT (X253),Petrol,1991,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2020
Private Car,MERCEDES BENZ,C200 FL(W205),Petrol,1497,SALOON,A,-,4,"> 150,000 and <= 300,000",2020
Private Car,TOYOTA,SIENTA,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,TOYOTA,SPADE,Petrol,1496,SALOON,A,-,4,"<= 150,000",2020
